GENE_ID,Chr,Start,End,Strand,Length,DFT1_CONT_1_S10,DFT1_CONT_2_S7,DFT1_CONT_3_S6,DFT1_Saha1_1_S1,DFT1_Saha1_2_S24,DFT1_Saha1_3_S12,DFT1_Saha2_1_S3,DFT1_Saha2_2_S22,DFT1_Saha2_3_S9,DFT1_Saha3_1_S23,DFT1_Saha3_2_S18,DFT1_Saha3_3_S14,DFT1_Saha4_1_S11,DFT1_Saha4_2_S2,DFT1_Saha4_3_S15,DFT1_Saha5_1_S8,DFT1_Saha5_2_S21,DFT1_Saha5_3_S5,DFT1_Saha6_1_S19,DFT1_Saha6_2_S16,DFT1_Saha6_3_S20,DFT1_Saha7_1_S13,DFT1_Saha7_2_S17,DFT1_Saha7_3_S4
RBL2,NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1,228034;232860;234506;238295;241101;245144;245394;250098;250862;252686;253677;254423;256251;256662;257041;257321;257888;258594;260450;267123,229066;232990;234706;238359;241229;245304;245458;250207;250965;252823;253841;254534;256523;256936;257217;257392;257990;258799;260614;268786,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,5349,1493,1945,2019,1794,1668,1754,1821,1616,1601,1960,1741,1944,1787,1704,1761,261,239,326,1478,1118,1091,1862,1970,1655
AKTIP,NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1,268143;268143;268143;270055;270055;270055;271327;271327;271327;271521;271521;271521;271698;271698;272635;272635;272635;272821;272821;272821;275148;275148;275148;276608;276608;276608;282484;282484;282484,269818;269815;269818;270115;270115;270115;271434;271434;271434;271786;271619;271619;271786;271786;272735;272735;272735;272885;272885;272885;275353;275353;275353;276721;276721;276721;282630;282629;282630,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2744,2199,2660,2602,2365,2241,2436,2301,1898,1871,1690,1669,1860,2095,2011,1892,417,398,474,1555,1275,1368,2521,2430,2229
LOC105751154,NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1,281556;281931;282413;282702;282973,281594;282349;282620;282835;283111,+;+;+;+;+,939,23,25,23,26,21,20,35,19,17,18,29,27,46,32,37,12,19,4,30,30,20,29,34,25
LOC111718534,NW_003816658.1;NW_003816658.1,331945;333971,331951;334826,+;+,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPGRIP1L,NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1,392853;392853;392853;395669;399538;399538;399538;414595;414595;414595;424053;424053;424053;441276;441276;441276;443090;443090;443090;444222;444222;444222;446827;446827;446827;447019;447019;447019;450367;450367;450367;453804;453804;453804;454789;454789;454789;455813;455813;455813;460681;460681;460681;465221;465221;465221;465467;465467;465467;477525;477525;477525;481158;481158;481158;484080;484080;484080;486205;486205;486205;492861;492861;492861;494241;494241;494241;500306;500306;500306;504070;504070;504070;505994;505994;505994;508862;508862;508862;512407;512407;512407,395812;393318;395812;395812;399671;399671;399671;414679;414679;414679;424236;424236;424236;441373;441373;441373;443255;443255;443255;444320;444320;444320;446910;446910;446910;447209;447209;447209;450736;450736;450733;453955;453955;453955;455241;455241;455241;455930;455930;455930;460860;460860;460860;465271;465271;465271;465573;465573;465573;477664;477664;477664;481231;481231;481231;484226;484226;484226;486310;486310;486310;493004;493004;493004;494337;494337;494337;500604;500604;500604;504205;504205;504205;506079;506079;506079;509048;509048;509048;512501;512501;512501,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,6943,1543,2327,2300,2064,1960,2094,2137,1877,1842,1459,1248,1528,1650,1559,1491,232,216,240,1445,1183,1207,2258,2372,2023
FTO,NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1,512772;512772;512772;602816;602816;602816;616121;616121;616121;628250;628250;628250;642725;642725;642725;659896;659896;659896;667835;667835;667835;670024;712582;723337;723337;905147;905147,512845;512845;512845;602893;602893;602893;616739;616739;616739;628393;628393;628393;642804;642804;642804;660039;660039;660039;667954;667954;667954;670120;712654;723461;723386;905566;905539,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1974,232,272,290,246,264,255,263,246,220,229,169,215,193,191,193,210,215,205,252,194,189,294,261,257
IRX3,NW_003816658.1;NW_003816658.1;NW_003816658.1;NW_003816658.1,1068534;1069597;1069859;1071211,1068957;1069663;1070981;1071379,-;-;-;-,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105751157,NW_003816659.1;NW_003816659.1;NW_003816659.1,228538;233351;241272,228808;233420;241747,-;-;-,817,323,395,351,331,322,301,346,311,267,222,248,269,351,280,325,254,206,249,348,311,324,359,341,330
IRX5,NW_003816659.1;NW_003816659.1;NW_003816659.1,242226;243762;244516,242570;244167;245453,+;+;+,1689,172,208,195,198,180,210,247,168,182,145,98,146,225,223,189,24,23,29,184,149,130,241,210,199
LOC100913828,NW_003816659.1,711370,714087,+,2718,1872,2288,2248,2077,2041,2048,2071,1884,1875,2162,1756,2140,2026,1943,1858,896,865,921,2366,1841,1965,2219,2241,1975
LOC100914090,NW_003816659.1;NW_003816659.1;NW_003816659.1,792100;793521;797275,792262;793564;797386,-;-;-,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRX6,NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1,808721;809915;810541;811249;811817;813828,808861;810196;810650;811547;812482;813877,+;+;+;+;+;+,1548,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
MMP2,NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1,987358;995582;997669;999340;1000430;1003507;1004233;1005354;1005987;1007798;1008632;1012554;1013790,987706;995808;997817;999468;1000603;1003680;1004406;1005509;1006134;1007934;1008791;1012663;1014729,+;+;+;+;+;+;+;+;+;+;+;+;+,3027,9024,11693,11315,10170,9620,10450,9848,8406,8239,7037,6208,7055,7129,6996,6950,3008,3097,3687,6676,5483,5310,11245,11234,9814
LPCAT2,NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1;NW_003816659.1,1020236;1020236;1027778;1027778;1029024;1029024;1030566;1030566;1032768;1032768;1034349;1034349;1035210;1035210;1039247;1039247;1058581;1058581;1061705;1061705;1063617;1063617;1078902;1078902;1083399;1083399;1087564;1094429,1020440;1020440;1027917;1027917;1029241;1029241;1030678;1030678;1032828;1032828;1034407;1034407;1035244;1035244;1039301;1039301;1058663;1058663;1061830;1061830;1063770;1063770;1079000;1079000;1083540;1083540;1089617;1095211,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4327,37,33,29,16,32,26,27,23,12,22,30,23,28,26,27,8,4,3,27,16,17,33,30,31
CAPNS2,NW_003816659.1,1071442,1072815,+,1374,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,1
LOC100914773,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,257790;258322;357426;455207;462899;465962;472323;482416,257947;258364;357567;455367;463027;466091;472476;483029,+;+;+;+;+;+;+;+,1531,958,1602,1554,1332,1333,1381,1421,1321,1252,1127,1011,1193,1150,1055,1166,448,367,468,1262,893,900,1478,1645,1348
LOC111718536,NW_003816660.1;NW_003816660.1,499544;502858,500131;503649,+;+,1380,5,4,7,4,4,0,4,2,1,8,4,4,2,5,2,2,2,0,2,8,7,7,4,5
AMFR,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,510296;512612;513607;515395;518368;520738;522889;533379;534528;535340;536065;539547;540921;544462;561919,512425;513040;513791;515475;518502;520841;523079;533489;534661;535472;536105;539699;541085;544554;562014,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,4181,3451,4465,4391,3999,3605,4046,4002,3337,3293,4447,4056,4428,5632,5192,5231,712,725,923,3736,2977,3012,4094,4114,3605
NUDT21,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,570866;571808;572902;575765;576642;579614;585324,571160;571922;572977;575854;576705;579814;585805,-;-;-;-;-;-;-,1323,2332,2890,2786,2383,2234,2636,2695,2251,2291,2243,1907,2254,2322,2166,2050,1188,1201,1344,2342,1962,1963,2797,2507,2446
OGFOD1,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,585796;587984;590718;594344;594344;595093;595093;596257;596257;597140;597140;597468;597468;597807;597807;598963;598963;599313;599313;602099;602099;602802;602802;603624;603624,586053;588129;590768;594390;594390;595193;595193;596373;596373;597231;597231;597596;597596;597920;597920;599042;599042;599662;599662;602221;602221;602860;602860;604461;604461,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2505,2186,2660,2702,2599,2405,2693,2543,2067,2068,1702,1639,1701,1536,1498,1500,555,454,560,1669,1446,1248,2659,2650,2282
BBS2,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,616575;618855;622239;622571;623702;629726;630861;631114;632071;632572;645828;646000;647958;649686;651006;652620;669386,616992;619003;622351;622708;623833;629855;631032;631261;632210;632707;645914;646104;648035;649748;651131;652847;669633,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2611,2096,2643,2699,2460,2251,2523,2508,2223,2180,2601,2428,2701,4059,3887,4120,298,312,381,2446,1818,1858,2699,2654,2250
LOC100916162,NW_003816660.1;NW_003816660.1;NW_003816660.1,730492;731901;735374,730522;731966;735465,+;+;+,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100919905,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,757376;758115;759062;760546,757461;758497;759130;760758,+;+;+;+,751,377,471,417,399,328,445,368,307,294,438,432,455,553,530,537,522,574,566,629,611,628,447,385,359
LOC105751161,NW_003816660.1;NW_003816660.1;NW_003816660.1,805602;806264;806647,805810;806329;806866,+;+;+,495,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0
LOC100920166,NW_003816660.1;NW_003816660.1;NW_003816660.1,817879;818535;819184,818034;818600;819401,+;+;+,440,8,13,7,11,16,17,11,5,4,91,70,69,140,153,133,27,12,20,71,78,78,14,16,11
LOC105751160,NW_003816660.1;NW_003816660.1;NW_003816660.1,837147;837783;838121,837177;837848;838372,+;+;+,349,1202,1336,1208,1285,1253,1385,1162,930,906,1128,1036,1158,823,764,734,1145,1095,1247,1831,1622,1573,1197,1107,1090
LOC100920426,NW_003816660.1;NW_003816660.1,854121;854958,854661;855167,+;+,751,592,668,606,619,611,661,544,477,416,489,447,523,701,606,631,482,496,542,814,845,845,630,613,606
NUP93,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,911017;911017;917915;917915;963444;963444;968724;968724;974196;975730;975730;978596;978596;980276;980276;982574;982574;984822;984822;986850;986850;987768;987768;988716;988716;989958;989958;990195;990195;990634;990634;991791;991791;992548;992548;1010767;1010767;1011228;1011228;1012766;1012766;1015805;1015805,911231;911231;918032;918032;963506;963506;968852;968852;974234;975804;975804;978685;978685;980415;980415;982706;982706;984979;984979;987015;987015;987861;987861;988907;988907;990084;990084;990267;990267;990678;990678;991907;991907;992666;992666;1010884;1010884;1011311;1011311;1012894;1012894;1016039;1016039,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2659,3307,4501,4154,3964,3763,4112,4216,3570,3376,3380,2968,3288,3062,2809,2909,1020,1034,1124,2754,2179,2333,4207,4054,3611
MIR138-1,NW_003816660.1;NW_003816660.1,1024447;1024477,1024596;1024499,+;+,150,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,0,2,2,0,0,0
SLC12A3,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,1030633;1030633;1031943;1031943;1039063;1039063;1039809;1039809;1041556;1041556;1042142;1042142;1043159;1043159;1043750;1043750;1048922;1048922;1049544;1049544;1050186;1050186;1050843;1050843;1051842;1051842;1052312;1052312;1054539;1054539;1055702;1055702;1056498;1056498;1057441;1057441;1060205;1060205;1060373;1060861;1060861;1062077;1062077;1064988;1064988;1068111;1068111;1069393;1069393;1075409;1075409,1030923;1030923;1032089;1032089;1039138;1039138;1039904;1039904;1041695;1041695;1042252;1042252;1043270;1043270;1043880;1043880;1049006;1049006;1049698;1049698;1050293;1050293;1050966;1050966;1051943;1051943;1052467;1052467;1054638;1054638;1055813;1055813;1056638;1056638;1057547;1057547;1060287;1060287;1060444;1060962;1060962;1062188;1062188;1065074;1065074;1068246;1068246;1069460;1069460;1075571;1075571,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3117,3,0,0,0,0,1,1,0,0,0,0,1,6,5,3,0,0,0,1,0,1,0,2,0
HERPUD1,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,1096457;1097252;1100998;1100998;1101166;1101166;1102654;1102654;1104101;1104101;1105444;1105444;1107249;1107249;1108315;1108315,1097153;1097423;1101075;1101075;1101231;1101231;1102787;1102787;1104223;1104223;1105794;1105794;1107354;1107354;1109105;1109105,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2518,1152,1476,1299,1183,1137,1279,1203,974,963,1762,1646,1838,2677,2623,2474,362,354,459,1533,1370,1398,1307,1247,1177
CETP,NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1;NW_003816660.1,1131662;1133276;1134440;1135890;1136407;1137777;1138219;1141440;1142841;1147352;1150577;1153169;1153943;1154802;1155415;1156231,1132195;1133390;1134574;1135960;1136494;1137846;1138279;1141531;1143020;1147402;1150741;1153236;1153985;1154871;1155500;1156499,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2098,1,0,3,0,1,0,1,1,2,1,0,2,4,5,3,0,0,1,0,0,4,1,0,2
